Date,Region,"New Cases","Total Cases","Active Cases","Inpatient Hospitalizations","ICU Hospitalizations","Recovered Cases",Deaths
2020/08/04,"Far North West",0,346,4,0,0,335,7
2020/08/04,"Far North West",0,,0,,,,
2020/08/04,"Far North Central",0,0,0,0,0,0,0
2020/08/04,"Far North East",0,6,0,0,0,6,0
2020/08/04,"Far North East",0,,0,,,,
2020/08/04,"North West",0,96,1,0,0,70,4
2020/08/04,"North West",0,,7,,,,
2020/08/04,"North West",0,,10,,,,
2020/08/04,"North West",1,,4,,,,
2020/08/04,"North Central",1,63,6,0,0,55,1
2020/08/04,"North Central",0,,1,,,,
2020/08/04,"North Central",0,,0,,,,
2020/08/04,"North East",0,62,1,0,0,31,0
2020/08/04,"North East",0,,30,,,,
2020/08/04,"North East",0,,0,,,,
2020/08/04,Saskatoon,2,216,24,3,5,190,2
2020/08/04,"Central West",0,158,46,0,0,83,0
2020/08/04,"Central West",0,,29,,,,
2020/08/04,"Central East",0,28,1,0,0,24,1
2020/08/04,"Central East",0,,1,,,,
2020/08/04,"Central East",0,,0,,,,
2020/08/04,"Central East",0,,1,,,,
2020/08/04,"Central East",0,,0,,,,
2020/08/04,Regina,4,99,13,1,2,83,1
2020/08/04,"South West",1,149,30,3,0,113,0
2020/08/04,"South West",0,,6,,,,
2020/08/04,"South Central",0,134,30,0,0,99,2
2020/08/04,"South Central",0,,3,,,,
2020/08/04,"South East",0,11,0,0,0,6,0
2020/08/04,"South East",0,,0,,,,
2020/08/04,"South East",0,,4,,,,
2020/08/04,"South East",0,,1,,,,
2020/08/05,"Far North West",0,346,4,0,0,335,7
2020/08/05,"Far North West",0,,0,,,,
2020/08/05,"Far North Central",0,0,0,0,0,0,0
2020/08/05,"Far North East",0,6,0,0,0,6,0
2020/08/05,"Far North East",0,,0,,,,
2020/08/05,"North West",0,98,1,0,0,79,4
2020/08/05,"North West",0,,7,,,,
2020/08/05,"North West",0,,3,,,,
2020/08/05,"North West",0,,4,,,,
2020/08/05,"North Central",0,63,4,0,1,57,1
2020/08/05,"North Central",0,,1,,,,
2020/08/05,"North Central",0,,0,,,,
2020/08/05,"North East",0,65,1,0,0,34,0
2020/08/05,"North East",3,,30,,,,
2020/08/05,"North East",0,,0,,,,
2020/08/05,Saskatoon,2,217,19,3,5,196,2
2020/08/05,"Central West",1,159,44,0,0,86,0
2020/08/05,"Central West",0,,29,,,,
2020/08/05,"Central East",0,28,1,1,0,24,1
2020/08/05,"Central East",0,,1,,,,
2020/08/05,"Central East",0,,0,,,,
2020/08/05,"Central East",0,,1,,,,
2020/08/05,"Central East",0,,0,,,,
2020/08/05,Regina,2,100,15,1,2,84,1
2020/08/05,"South West",0,149,26,2,0,119,0
2020/08/05,"South West",0,,4,,,,
2020/08/05,"South Central",0,134,24,0,0,105,2
2020/08/05,"South Central",0,,3,,,,
2020/08/05,"South East",0,11,0,0,0,8,0
2020/08/05,"South East",0,,0,,,,
2020/08/05,"South East",0,,3,,,,
2020/08/05,"South East",0,,0,,,,
2020/08/06,"Far North West",0,346,2,0,0,337,7
2020/08/06,"Far North West",0,,0,,,,
2020/08/06,"Far North Central",0,0,0,0,0,0,0
2020/08/06,"Far North East",0,6,0,0,0,6,0
2020/08/06,"Far North East",0,,0,,,,
2020/08/06,"North West",0,98,1,0,0,81,4
2020/08/06,"North West",0,,7,,,,
2020/08/06,"North West",0,,3,,,,
2020/08/06,"North West",0,,2,,,,
2020/08/06,"North Central",0,63,4,0,1,58,1
2020/08/06,"North Central",0,,0,,,,
2020/08/06,"North Central",0,,0,,,,
2020/08/06,"North East",0,65,1,0,0,34,0
2020/08/06,"North East",0,,30,,,,
2020/08/06,"North East",0,,0,,,,
2020/08/06,Saskatoon,1,218,17,3,4,199,2
2020/08/06,"Central West",0,159,40,0,0,95,0
2020/08/06,"Central West",0,,24,,,,
2020/08/06,"Central East",0,28,1,1,0,24,1
2020/08/06,"Central East",0,,1,,,,
2020/08/06,"Central East",0,,0,,,,
2020/08/06,"Central East",0,,1,,,,
2020/08/06,"Central East",0,,0,,,,
2020/08/06,Regina,0,100,13,1,1,85,2
2020/08/06,"South West",1,150,24,2,0,123,0
2020/08/06,"South West",0,,3,,,,
2020/08/06,"South Central",9,143,25,0,0,114,2
2020/08/06,"South Central",0,,2,,,,
2020/08/06,"South East",0,11,0,0,0,8,0
2020/08/06,"South East",0,,0,,,,
2020/08/06,"South East",0,,3,,,,
2020/08/06,"South East",0,,0,,,,
2020/08/07,"Far North West",0,346,1,0,0,338,7
2020/08/07,"Far North West",0,,0,,,,
2020/08/07,"Far North Central",0,0,0,0,0,0,0
2020/08/07,"Far North East",0,6,0,0,0,6,0
2020/08/07,"Far North East",0,,0,,,,
2020/08/07,"North West",0,99,1,0,0,85,4
2020/08/07,"North West",0,,3,,,,
2020/08/07,"North West",1,,4,,,,
2020/08/07,"North West",0,,2,,,,
2020/08/07,"North Central",0,63,4,0,1,58,1
2020/08/07,"North Central",0,,0,,,,
2020/08/07,"North Central",0,,0,,,,
2020/08/07,"North East",0,65,1,0,0,48,0
2020/08/07,"North East",0,,16,,,,
2020/08/07,"North East",0,,0,,,,
2020/08/07,Saskatoon,3,221,13,4,3,206,2
2020/08/07,"Central West",0,159,29,0,0,109,0
2020/08/07,"Central West",0,,21,,,,
2020/08/07,"Central East",0,30,1,1,0,24,1
2020/08/07,"Central East",2,,3,,,,
2020/08/07,"Central East",0,,0,,,,
2020/08/07,"Central East",0,,1,,,,
2020/08/07,"Central East",0,,0,,,,
2020/08/07,Regina,2,102,14,1,0,86,2
2020/08/07,"South West",2,153,20,2,0,129,1
2020/08/07,"South West",1,,3,,,,
2020/08/07,"South Central",12,154,27,1,0,124,2
2020/08/07,"South Central",0,,1,,,,
2020/08/07,"South East",0,11,0,0,0,8,0
2020/08/07,"South East",0,,0,,,,
2020/08/07,"South East",0,,3,,,,
2020/08/07,"South East",0,,0,,,,
2020/08/08,"Far North West",0,346,1,0,0,338,7
2020/08/08,"Far North West",0,,0,,,,
2020/08/08,"Far North Central",0,0,0,0,0,0,0
2020/08/08,"Far North East",0,6,0,0,0,6,0
2020/08/08,"Far North East",0,,0,,,,
2020/08/08,"North West",0,99,1,0,0,87,4
2020/08/08,"North West",0,,2,,,,
2020/08/08,"North West",0,,4,,,,
2020/08/08,"North West",0,,1,,,,
2020/08/08,"North Central",3,66,4,0,1,61,1
2020/08/08,"North Central",0,,0,,,,
2020/08/08,"North Central",0,,0,,,,
2020/08/08,"North East",0,65,1,0,0,52,0
2020/08/08,"North East",0,,12,,,,
2020/08/08,"North East",0,,0,,,,
2020/08/08,Saskatoon,11,224,13,3,4,209,2
2020/08/08,"Central West",0,159,24,0,0,114,0
2020/08/08,"Central West",0,,21,,,,
2020/08/08,"Central East",0,30,0,0,0,26,1
2020/08/08,"Central East",0,,3,,,,
2020/08/08,"Central East",0,,0,,,,
2020/08/08,"Central East",0,,0,,,,
2020/08/08,"Central East",0,,0,,,,
2020/08/08,Regina,3,113,25,1,0,86,2
2020/08/08,"South West",1,154,21,3,0,129,1
2020/08/08,"South West",0,,3,,,,
2020/08/08,"South Central",4,159,26,1,0,129,2
2020/08/08,"South Central",1,,2,,,,
2020/08/08,"South East",0,11,0,0,0,8,0
2020/08/08,"South East",0,,0,,,,
2020/08/08,"South East",0,,3,,,,
2020/08/08,"South East",0,,0,,,,
2020/08/09,"Far North West",0,346,1,0,0,338,7
2020/08/09,"Far North West",0,,0,,,,
2020/08/09,"Far North Central",0,0,0,0,0,0,0
2020/08/09,"Far North East",0,6,0,0,0,6,0
2020/08/09,"Far North East",0,,0,,,,
2020/08/09,"North West",0,100,1,0,0,87,4
2020/08/09,"North West",0,,2,,,,
2020/08/09,"North West",1,,5,,,,
2020/08/09,"North West",0,,1,,,,
2020/08/09,"North Central",0,66,4,0,0,61,1
2020/08/09,"North Central",0,,0,,,,
2020/08/09,"North Central",0,,0,,,,
2020/08/09,"North East",0,65,1,0,0,52,0
2020/08/09,"North East",0,,12,,,,
2020/08/09,"North East",0,,0,,,,
2020/08/09,Saskatoon,1,224,12,3,3,210,2
2020/08/09,"Central West",0,160,22,0,0,118,0
2020/08/09,"Central West",1,,20,,,,
2020/08/09,"Central East",0,30,0,0,0,26,1
2020/08/09,"Central East",0,,3,,,,
2020/08/09,"Central East",0,,0,,,,
2020/08/09,"Central East",0,,0,,,,
2020/08/09,"Central East",0,,0,,,,
2020/08/09,Regina,5,118,29,1,1,87,2
2020/08/09,"South West",1,156,18,2,2,132,1
2020/08/09,"South West",2,,5,,,,
2020/08/09,"South Central",3,162,27,1,1,131,2
2020/08/09,"South Central",0,,2,,,,
2020/08/09,"South East",0,11,0,0,0,9,0
2020/08/09,"South East",0,,0,,,,
2020/08/09,"South East",0,,2,,,,
2020/08/09,"South East",0,,0,,,,
2020/08/10,"Far North West",0,346,1,0,0,338,7
2020/08/10,"Far North West",0,,0,,,,
2020/08/10,"Far North Central",0,0,0,0,0,0,0
2020/08/10,"Far North East",0,6,0,0,0,6,0
2020/08/10,"Far North East",0,,0,,,,
2020/08/10,"North West",0,100,1,0,0,88,4
2020/08/10,"North West",0,,2,,,,
2020/08/10,"North West",0,,4,,,,
2020/08/10,"North West",0,,1,,,,
2020/08/10,"North Central",0,66,4,0,1,61,1
2020/08/10,"North Central",0,,0,,,,
2020/08/10,"North Central",0,,0,,,,
2020/08/10,"North East",0,65,1,0,0,52,0
2020/08/10,"North East",0,,12,,,,
2020/08/10,"North East",0,,0,,,,
2020/08/10,Saskatoon,1,225,13,3,3,210,2
2020/08/10,"Central West",0,160,21,0,0,120,0
2020/08/10,"Central West",0,,19,,,,
2020/08/10,"Central East",0,30,0,0,0,26,1
2020/08/10,"Central East",0,,3,,,,
2020/08/10,"Central East",0,,0,,,,
2020/08/10,"Central East",0,,0,,,,
2020/08/10,"Central East",0,,0,,,,
2020/08/10,Regina,3,121,30,1,0,89,2
2020/08/10,"South West",0,156,18,3,1,132,1
2020/08/10,"South West",0,,5,,,,
2020/08/10,"South Central",1,163,25,1,0,134,2
2020/08/10,"South Central",0,,2,,,,
2020/08/10,"South East",0,11,0,0,0,9,0
2020/08/10,"South East",0,,0,,,,
2020/08/10,"South East",0,,2,,,,
2020/08/10,"South East",0,,0,,,,
2020/08/11,"Far North West",0,346,1,0,0,338,7
2020/08/11,"Far North West",0,,0,,,,
2020/08/11,"Far North Central",0,0,0,0,0,0,0
2020/08/11,"Far North East",0,6,0,0,0,6,0
2020/08/11,"Far North East",0,,0,,,,
2020/08/11,"North West",0,101,1,0,0,90,4
2020/08/11,"North West",0,,1,,,,
2020/08/11,"North West",1,,4,,,,
2020/08/11,"North West",0,,1,,,,
2020/08/11,"North Central",0,66,4,0,1,61,1
2020/08/11,"North Central",0,,0,,,,
2020/08/11,"North Central",0,,0,,,,
2020/08/11,"North East",0,65,0,0,0,58,0
2020/08/11,"North East",0,,7,,,,
2020/08/11,"North East",1,,0,,,,
2020/08/11,Saskatoon,17,242,29,3,3,211,2
2020/08/11,"Central West",0,160,13,0,0,131,0
2020/08/11,"Central West",0,,16,,,,
2020/08/11,"Central East",0,30,0,0,0,26,1
